city,hotel_name,acc_type,price,hotel_star,no_of_ratings,rating,occupancy,lat_long
Orlando,"Four Points by Sheraton Orlando Convention Center, Orlando",HOTEL,$99 ,3-star,See all 263 Hotels.com reviews,6.4,"1 room, 3 adults","['28.4189', '-81.465945']"
Orlando,"Midpointe Hotel by Rosen Hotels & Resorts, Orlando",HOTEL,$51 ,2-star,See all 642 Hotels.com reviews,7.2,"1 room, 3 adults","['28.423148', '-81.462391']"
Orlando,"Red Roof Inn Orlando South - Florida Mall, Orlando",HOTEL,$64 ,2-star,See all 538 Hotels.com reviews,6.8,"1 room, 3 adults","['28.444886', '-81.402383']"
Orlando,"Days Inn by Wyndham Orlando/International Drive, Orlando",HOTEL,$44 ,2-star,"See all 2,096 Hotels.com reviews",4.2,"1 room, 3 adults","['28.462254', '-81.460458']"
Orlando,"Floridian Express International Drive, Orlando",HOTEL,$56 ,2.5-star,See all 904 Hotels.com reviews,6,"1 room, 3 adults","['28.460568', '-81.468116']"
Orlando,"Sonesta ES Suites Orlando - International Drive, Orlando",HOTEL,$129 ,3.5-star,See all 859 Hotels.com reviews,8.8,"1 room, 3 adults","['28.441941', '-81.47115']"
Orlando,"Staybridge Suites Orlando/Lake Buena Vista, Orlando",HOTEL,$109 ,3-star,See all 418 Hotels.com reviews,8.8,"1 room, 3 adults","['28.389693', '-81.505303']"
Orlando,"Days Inn & Suites by Wyndham Orlando Airport, Orlando",HOTEL,$66 ,2-star,"See all 1,299 Hotels.com reviews",6.6,"1 room, 3 adults","['28.451071', '-81.356734']"
Orlando,"La Quinta Inn by Wyndham Orlando Airport West, Orlando",HOTEL,$76 ,2.5-star,"See all 1,093 Hotels.com reviews",6.8,"1 room, 3 adults","['28.452129', '-81.338863']"
Orlando,"Best Western International Drive - Orlando, Orlando",HOTEL,$84 ,2.5-star,"See all 1,055 Hotels.com reviews",8.2,"1 room, 3 adults","['28.447039', '-81.471711']"
Orlando,"Hampton Inn Orlando-International Airport, Orlando",HOTEL,$98 ,2.5-star,See all 412 Hotels.com reviews,9,"1 room, 3 adults","['28.460259', '-81.307466']"
Orlando,"Rosen Inn, closest to Universal, Orlando",HOTEL,$70 ,3-star,"See all 2,377 Hotels.com reviews",8.4,"1 room, 3 adults","['28.45966', '-81.468967']"
Orlando,"Disney's BoardWalk Inn, Lake Buena Vista",HOTEL,$380 ,4-star,See all 102 Hotels.com reviews,9,"1 room, 3 adults","['28.364717', '-81.553556']"
Orlando,"Best Western Orlando Gateway Hotel, Orlando",HOTEL,$61 ,3-star,"See all 2,701 Hotels.com reviews",8.4,"1 room, 3 adults","['28.457668', '-81.464251']"
